State,In-network denial rate,Minimum in-network denial rate,Maximum in-network denial rate
AK,25.426054,25.426054,25.42605
AL,34.263565,16.957445,41.57938
AR,14.135994,12.254669,17.57506
AZ,20.67226,13.045844,39.62119
DE,14.365579,13.793729,49.86869
FL,15.97658,7.827209,53.89931
HI,23.819258,5.026657,24.18552
IA,18.825077,17.259988,31.05789
IL,19.619978,6.873193,37.3251
IN,22.725378,19.428492,31.08053
KS,14.864117,11.753841,35.87627
LA,17.120418,13.370247,41.04994
MI,14.711198,6.733779,38.6444
MO,17.306864,13.376331,26.5751
MS,15.192708,13.673124,31.92003
MT,12.626168,2.945283,40.18114
NC,18.205793,15.330387,39.13827
ND,11.529891,4.858397,28.46163
NE,19.223025,12.251214,27.46255
NH,18.037793,12.108413,25.44641
OH,19.273542,9.52929,36.43157
OK,29.313037,10.249892,40.56742
OR,9.088494,2.154784,15.03322
SC,18.392771,14.721374,42.79986
SD,6.144297,1.457531,15.46655
TN,19.028704,15.314488,30.38013
TX,21.622791,11.731471,36.39328
UT,18.503364,13.718572,28.21826
WI,15.851888,6.634366,26.65063
WV,15.522698,10.701303,24.0521
WY,15.388947,8.328946,19.16522